# Timestamp [s], X [m], Y [m], Z [m], Roll [deg], Pitch [deg], Heading [deg]
0.000,0.000,-0.000,-0.000,0.000,0.000,0.000
0.200,0.031,-0.773,3.330,-0.171,0.167,-0.520
0.400,0.067,-1.721,6.798,-0.934,0.506,-0.505
0.600,0.048,-2.979,10.101,-0.449,1.150,-0.159
0.800,0.120,-4.914,12.237,-0.326,2.723,-0.251
1.000,0.128,-8.192,12.926,1.107,0.630,-0.248
1.200,-1.069,-10.799,15.287,-0.648,-26.045,-1.185
1.400,-3.629,-12.221,17.145,-1.467,-52.653,-1.594
1.600,-6.701,-13.153,18.095,-3.795,-73.079,0.853
1.800,-9.912,-13.856,18.332,-18.240,-86.494,14.866
2.000,-13.143,-14.417,18.190,-163.041,-88.130,159.118
2.200,-16.381,-14.894,18.056,-133.229,-87.503,129.809
2.400,-19.662,-15.344,17.927,-119.375,-88.062,116.967
2.600,-22.961,-15.806,17.748,-159.015,-88.668,168.236
2.800,-26.375,-16.175,17.553,-188.540,-88.157,175.080
3.000,-29.795,-16.135,17.370,-173.763,-87.777,175.574
3.200,-33.231,-15.482,17.159,218.579,-86.715,170.108
3.400,-36.648,-14.922,16.870,173.883,-85.612,-217.356
3.600,-40.011,-14.423,16.542,166.932,-85.096,-170.272
3.800,-43.272,-14.015,16.221,165.717,-84.849,-169.731
4.000,-46.500,-13.659,15.826,159.190,-84.566,-162.729
4.200,-49.709,-13.344,15.427,156.298,-84.735,-160.305
4.400,-52.929,-13.054,15.033,153.745,-85.060,-157.692
4.600,-56.116,-12.755,14.580,142.555,-85.516,-146.484
4.800,-59.321,-12.488,14.239,137.596,-86.248,-141.447
5.000,-62.551,-12.225,13.986,128.239,-86.844,-132.255
5.200,-65.760,-11.980,13.801,118.680,-87.307,-122.008
5.400,-69.110,-11.732,13.611,111.438,-87.486,-114.909
5.600,-72.467,-11.511,13.443,107.652,-87.331,-111.164
5.800,-75.876,-11.321,13.368,108.280,-87.597,-111.601
6.000,-79.230,-11.143,13.298,109.040,-87.674,-112.687
6.200,-82.552,-10.957,13.186,106.234,-87.437,-109.749
6.400,-85.958,-10.786,13.131,108.640,-87.655,-112.195
6.600,-89.347,-10.600,13.054,106.833,-87.573,-110.664
6.800,-92.713,-10.417,12.967,108.756,-87.778,-112.421
7.000,-96.032,-10.235,12.883,109.734,-87.956,-113.794
7.200,-99.326,-10.025,12.768,105.498,-87.596,-109.522
7.400,-102.629,-9.788,12.684,104.875,-87.510,-108.602
7.600,-105.923,-9.562,12.615,105.434,-87.606,-109.407
7.800,-109.239,-9.331,12.543,102.956,-86.974,-106.880
8.000,-112.557,-9.126,12.473,105.680,-87.045,-109.123
8.200,-115.904,-8.938,12.411,110.033,-87.349,-113.689
8.400,-119.251,-8.736,12.348,113.266,-87.414,-116.680
