x [m];y [m]
645779.76;272117.78
645864.10;272075.30
645910.56;272052.37
645942.09;272030.22
645982.80;271968.36
646007.35;271955.79
646031.69;271970.95
646031.89;271998.29
646011.94;272024.23
645971.23;272063.35
645961.25;272090.49
645973.22;272110.44
645996.97;272114.03
646030.70;272099.27
646056.04;272098.87
646070.81;272111.44
646075.20;272133.99
646076.20;272166.12
646092.96;272182.08
646112.31;272190.26
646126.68;272204.43
646134.07;272247.74
646122.89;272301.82
646103.14;272361.88
646098.15;272402.59
